latitude,longitude,date,time
36.98,14.04,2023-07-22,1310
39.41,16.25,2023-07-22,2348
39.41,16.25,2023-07-22,2348
36.68,14.96,2023-07-23,1110
36.98,14.35,2023-07-23,1110
36.98,14.35,2023-07-23,1110
37.12,14.22,2023-07-23,1110
37.12,14.22,2023-07-23,1110
37.12,14.22,2023-07-23,1110
36.98,14.04,2023-07-23,1110
37.25,13.48,2023-07-23,1110
37.25,13.48,2023-07-23,1110
37.25,13.48,2023-07-23,1110
37.25,14.87,2023-07-23,1110
37.33,14.03,2023-07-23,1110
37.33,14.03,2023-07-23,1110
37.66,12.81,2023-07-23,1110
37.66,12.81,2023-07-23,1110
37.66,12.81,2023-07-23,1110
37.77,12.55,2023-07-23,1110
37.77,12.55,2023-07-23,1110
37.77,12.55,2023-07-23,1110
37.94,15.71,2023-07-23,1110
37.94,15.71,2023-07-23,1110
36.68,14.96,2023-07-23,1251
36.68,14.96,2023-07-23,1251
36.98,14.35,2023-07-23,1251
37.15,13.66,2023-07-23,1251
37.25,13.48,2023-07-23,1251
37.12,14.22,2023-07-23,1251
37.12,14.22,2023-07-23,1251
37.12,14.22,2023-07-23,1251
37.38,13.42,2023-07-23,1251
37.38,13.42,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.33,14.03,2023-07-23,1251
37.55,14.91,2023-07-23,1251
37.77,12.55,2023-07-23,1251
37.66,12.81,2023-07-23,1251
37.77,12.55,2023-07-23,1251
37.77,12.55,2023-07-23,1251
37.94,15.71,2023-07-23,1251
37.77,12.55,2023-07-23,1251
37.94,15.71,2023-07-23,1251
37.94,15.71,2023-07-23,1251
40.74,15.67,2023-07-23,1253
40.74,15.67,2023-07-23,1253
45.71,11.39,2023-07-23,1253
45.71,11.39,2023-07-23,1253
45.71,11.39,2023-07-23,1253
37.33,14.03,2023-07-24,1051
37.33,14.03,2023-07-24,1051
37.33,14.03,2023-07-24,1051
37.33,14.03,2023-07-24,1051
37.33,14.03,2023-07-24,1051
37.33,14.03,2023-07-24,1051
37.34,14.59,2023-07-24,1051
37.34,14.59,2023-07-24,1051
38.06,15.53,2023-07-24,1051
40.03,18.0,2023-07-24,1051
40.03,18.0,2023-07-24,1051
40.03,18.0,2023-07-24,1051
40.03,18.0,2023-07-24,1051
40.84,16.13,2023-07-24,1051
41.1,15.28,2023-07-24,1051
41.33,15.46,2023-07-24,1051
36.68,14.96,2023-07-24,1232
37.15,13.66,2023-07-24,1232
37.33,14.03,2023-07-24,1232
37.33,14.03,2023-07-24,1232
37.15,13.66,2023-07-24,1232
37.33,14.03,2023-07-24,1232
37.33,14.03,2023-07-24,1232
37.34,14.59,2023-07-24,1232
37.34,14.59,2023-07-24,1232
37.25,14.87,2023-07-24,1232
37.25,14.87,2023-07-24,1232
37.59,13.76,2023-07-24,1232
37.59,13.76,2023-07-24,1232
37.59,12.89,2023-07-24,1232
37.95,13.11,2023-07-24,1232
37.95,13.11,2023-07-24,1232
37.95,13.11,2023-07-24,1232
38.06,15.53,2023-07-24,1232
39.27,8.76,2023-07-24,1232
39.27,8.76,2023-07-24,1232
39.27,8.76,2023-07-24,1232
40.4,16.33,2023-07-24,1232
37.66,12.81,2023-07-25,52
37.72,13.29,2023-07-25,52
37.72,13.29,2023-07-25,52
37.77,12.55,2023-07-25,52
37.78,13.15,2023-07-25,52
37.77,12.55,2023-07-25,52
37.95,13.11,2023-07-25,52
37.95,13.11,2023-07-25,52
37.95,13.11,2023-07-25,52
37.95,13.11,2023-07-25,52
37.95,13.11,2023-07-25,52
37.95,13.11,2023-07-25,52
38.13,15.25,2023-07-25,52
36.8,12.04,2023-07-25,1212
36.8,12.04,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,15.08,2023-07-25,1212
36.98,14.04,2023-07-25,1212
36.98,15.08,2023-07-25,1212
37.25,14.87,2023-07-25,1212
37.25,14.87,2023-07-25,1214
37.25,14.87,2023-07-25,1214
37.25,14.87,2023-07-25,1214
37.25,14.87,2023-07-25,1214
37.59,13.37,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.66,12.81,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.66,12.81,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.59,13.76,2023-07-25,1214
37.72,13.29,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
